category,description
Rejected,"1. The work permit was extended last time with the remark-	No further extension of work permit will be allowed in future. You shall have to make necessary arrangements to replace him with a Bangladeshi national within the extended period. kindly take necessary action for arrangements to replace him by a Bangladeshi national\
\
2. Multi-user ID  is not acceptable in the OSS system for a company. Please merge both IDs before submitting any application on the OSS platform."
Rejected,09 years of employment will be complete on 16.10.2020;You are suggested to appoint local employee in replace of this foreign employee
Rejected,10 years will exceed 16.10.2021. Hence the application has been rejected.
Rejected,"In the bank statement balance is  BDT 2,316. Uplaoded expiation is notrational and not accepatble"
Rejected,"A. An Assistant Manager(Sales) is a signatory if the company is not clear to us.\
B. Yesterday total local manpower was 22. Today how it become 51 \
C. 5 years will exceed 07-Apr-2023  Kindly replace the post with a local employee\
"
Rejected,5 years already exceed on 07-Apr-2023. Uplaoded a request letter for the extension of the work permit. maybe approved one year for the last time
Rejected, 5 years will exceed on 07-Apr-2023 as well as the manpower ratio does not cover the BIDA guideline. Kindly replace the post by a local employee
Rejected,"1. Please upload the income tax certificate for the expatriate for the assessment years 2017-2018,2018-19,2019-20.2020-21 assessment years.\
 2. Six(06) years will exceed 17-Aug-2021. Please replace the post by a local employee.\
3.Please upload a bank statement of the salary payment in favor of the investor/employee for the last one (01) year"
Rejected,"1. Desire effective date-01-Apr-2020,  you have to pay tax up to 12.8.2020 (departure date).\
2. As per the condition of the work permit the employer has to be notified to BIDA within 7 days after the departure of the expatriate.\
You have violated the conditions. Hence; the application is rejected.\
\
"
Rejected,It seems the auditor is saying the liaison office is taking revenue from contracts with its customers. Please discuss with BIDA along with relevant papers on the auditors comments.
Rejected,"1. Submitted the application without any care. The board resolution has no relationship with the application.\
\
2. List of machinery has been left blank\
\
3. Annual Production capacity is incorrect\
\
For above reasons the application is rejected Note that only complete and accurate application is allowed."
